"entity_id","friendly_name"
"automation.track_gpt_requests","Track GPT Requests"
"automation.smart_dashboard_optimization_reminder","???? Smart Dashboard Optimization Reminder"
"automation.run_kodi_ai_when_prompt_is_updated","Run Kodi AI when Prompt is Updated"
"automation.git_sync_failure_alert","???? Git Sync Failure Alert"
"automation.save_latest_email_content_to_files","Save Latest Email Content to Files"
"automation.notify_if_git_sync_stale_2","Notify if Git Sync Stale"
"automation.run_yaml_validation_log_result","Run YAML Validation & Log Result"
"automation.sync_orphaned_files_to_recovery","Sync Orphaned Files to Recovery"
"automation.add_task_from_dashboard","Add Task from Dashboard"
"automation.log_esp_restart_reason","Log ESP Restart Reason"
"automation.send_gpt_prompt_from_direct_input","Send GPT Prompt from Direct Input"
"automation.run_yaml_validation_log_result_2","Run YAML Validation & Log Result"
"automation.add_to_do_via_dashboard","Add To-Do via Dashboard"
"automation.save_latest_email_content_to_files_2","Save Latest Email Content to Files"
"automation.alert_if_wsl_restart_marker_missing","Alert if WSL Restart Marker Missing"
"automation.ensure_gpt_status_file_permissions","Ensure GPT Status File Permissions"
"automation.enable_entities_dashboard","Enable Entities Dashboard"
"automation.disable_entities_dashboard","Disable Entities Dashboard"
"automation.re_ask_chatgpt","Re-Ask ChatGPT"
"automation.notify_system_update_available","Notify System Update Available"
"automation.backup_success_reminder","Backup Success Reminder"
"automation.notify_of_stale_updates","Notify of Stale Updates"
"automation.notify_backup_created","Notify Backup Created"
"automation.run_gpt_when_prompt_changes","Run GPT when prompt changes"
"automation.announce_gpt_reply","Announce GPT reply"
"automation.push_gpt_reply_to_mobile","Push GPT reply to mobile"
"automation.remind_vpn_on_for_streaming","Remind VPN on for streaming"
"automation.auto_bedtime_scene","Auto Bedtime Scene"
"automation.kitchen_blinds_open_morning_gradual","Kitchen Blinds Open Morning (Gradual)"
"automation.kitchen_blinds_close_evening_gradual","Kitchen Blinds Close Evening (Gradual)"
"automation.kitchen_window_open_alert","Kitchen Window Open Alert"
"automation.alexa_kitchen_afternoon_greeting","Alexa Kitchen Afternoon Greeting"
"automation.gpt_conversational_text_trigger_shell","GPT Conversational Text Trigger (Shell)"
"automation.run_nas_script_from_chatgpt_prompt","Run NAS Script from ChatGPT Prompt"
"automation.mark_gpt_as_sent","Mark GPT as Sent"
"automation.admin_gpt_mark_as_sent","Admin GPT Mark as Sent"
"automation.admin_gpt_reply_complete","Admin GPT Reply Complete"
"automation.gpt_conversational_text_trigger","GPT Conversational Text Trigger"
"automation.alert_if_jit_plugin_goes_offline","Alert if JIT Plugin goes offline"
"automation.alert_if_wsl_restart_marker_missing_2","Alert if WSL Restart Marker Missing"
"automation.disable_noisy_entity_logging","Disable noisy entity logging"
"automation.send_home_assistant_startup_report","Send Home Assistant Startup Report"
"automation.react_to_gpt_context_change","React to GPT Context Change"
"automation.reload_automations_after_startup","Reload Automations After Startup"
"automation.log_gpt_context_change","Log GPT Context Change"
"automation.kitchen_light_off","Kitchen Light Off"
"automation.kitchen_manual_off","Kitchen Manual Off"
"automation.flight_alert_takeoff_or_landing","Flight Alert - Takeoff or Landing"
"automation.door_open_alexa_lounge_weather_advisory","Alexa Lounge Weather Advisory"
"automation.teddy_belt_level_up","Teddy Belt Level Up"
"automation.add_karate_belt_badge","Add Karate Belt Badge"
"automation.automation_2","automation 6"
"automation.zigbee_motion_light_control","Bathroom Motion + Switch Light Control"
"automation.reset_media_player_volume_after_playback_2","Reset Media Player Volume After Playback"
"automation.reset_media_player_volume_after_playback_3","Reset Media Player Volume After Playback"
"automation.ha_control_evening_mode","HA Control: Evening Mode"
"automation.ha_control_rainy_weather_mode","HA Control: Rainy Weather Mode"
"automation.ha_control_when_home","HA Control: When Home"
"automation.red_arrows_watch","Red Arrows Watch"
"automation.j_home","J Home"
"automation.s_home","S Home"
"automation.aircraft_noise_detection_lounge_vibration","Aircraft Noise Detection ??? Lounge Vibration"
"automation.log_aircraft_entry","Log aircraft entry"
"automation.sync_media_player_selector","Sync Media Player Selector"
"automation.fix_sheet_timestamp","Fix Sheet Timestamp"
"automation.office_light_on_when_occupied","Office Light On When Occupied"
"automation.ads_b_feed_heartbeat","ADS-B Feed Heartbeat"
"automation.log_ads_b_emergency","Log ADS-B Emergency"
"automation.flash_lamp_for_low_aircraft","Flash Lamp for Low Aircraft"
"automation.hall_light_on_when_all_others_are_off_at_night","Hall Light On When All Others Are Off at Night"
"automation.update_notion_icon_when_hall_light_turns_off","Update Notion Icon When Hall Light Turns Off"
"automation.office_light_on_when_occupied_2","Office Light On When Occupied"
"automation.office_light_off_after_no_motion","Office Light Off After No Motion"
"automation.office_light_on_when_occupied_3","Office Light On When Occupied"
"automation.office_light_off_after_no_motion_2","Office Light Off After No Motion"
